"product","encode","mrp","distributor","city","area","quantity",
"FUSE IN - S4","","249","BABA SALES","Mumbai","Vileparle - East & West","0",
"FUSE IN - S4","","249","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0",
"FUSE IN - S4","","249","EQUATOR TRADE HOUSE","Chennai","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0",
"FUSE IN - S4","","249","Pragathi Marketing","Bangalore","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","0",
"FUSE IN - S4","","249","SWAYAM ENTERPRISES","Mumbai","Andheri West","0",
"FUSE IN - S4","","249","Toyotoyz","Mumbai","DADAR EAST","0",
"PIPED MUSIC BAND","","299","BABA SALES","Mumbai","Vileparle - East & West","2",
"PIPED MUSIC BAND","","299","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0",
"PIPED MUSIC BAND","","299","EQUATOR TRADE HOUSE","Chennai","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","1",
"PIPED MUSIC BAND","","299","Pragathi Marketing","Bangalore","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","0",
"PIPED MUSIC BAND","","299","SWAYAM ENTERPRISES","Mumbai","Andheri West","0",
"PIPED MUSIC BAND","","299","Toyotoyz","Mumbai","DADAR EAST","0",
"AWESOME STRAWSOME","","299","BABA SALES","Mumbai","Vileparle - East & West","0",
"AWESOME STRAWSOME","","299","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","1",
"AWESOME STRAWSOME","","299","EQUATOR TRADE HOUSE","Chennai","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0",
"AWESOME STRAWSOME","","299","Pragathi Marketing","Bangalore","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","0",
"AWESOME STRAWSOME","","299","SWAYAM ENTERPRISES","Mumbai","Andheri West","0",
"AWESOME STRAWSOME","","299","Toyotoyz","Mumbai","DADAR EAST","1",
"FUSE IN","","185","BABA SALES","Mumbai","Vileparle - East & West","0",
"FUSE IN","","185","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0",
"FUSE IN","","185","EQUATOR TRADE HOUSE","Chennai","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0",
"FUSE IN","","185","Pragathi Marketing","Bangalore","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","0",
"FUSE IN","","185","SWAYAM ENTERPRISES","Mumbai","Andheri West","0",
"FUSE IN","","185","Toyotoyz","Mumbai","DADAR EAST","0",
"CREATE A REAL CLOCK","","299","BABA SALES","Mumbai","Vileparle - East & West","1",
"CREATE A REAL CLOCK","","299","SOUMYA INTERNATIONAL","New Delhi","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0",
"CREATE A REAL CLOCK","","299","EQUATOR TRADE HOUSE","Chennai","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0",
"CREATE A REAL CLOCK","","299","Pragathi Marketing","Bangalore","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","0",
"CREATE A REAL CLOCK","","299","SWAYAM ENTERPRISES","Mumbai","Andheri West","0",
"CREATE A REAL CLOCK","","299","Toyotoyz","Mumbai","DADAR EAST","1",
