"timestamp","distributor","name","area","city","quantity","amount",
"2014-09-30 21:05:26","SOUMYA INTERNATIONAL","khanna gift house","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","New Delhi","0","0",
"2014-09-30 21:05:55","SOUMYA INTERNATIONAL","Sitaram Enterprise","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","New Delhi","0","0",
"2014-09-30 21:06:19","SOUMYA INTERNATIONAL","Toy World (sam&com.)","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","New Delhi","0","0",
"2014-09-30 21:06:55","SOUMYA INTERNATIONAL","Maharani Dipartmental Store","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","New Delhi","0","0",
"2014-09-30 21:07:16","SOUMYA INTERNATIONAL","Textile Showroom","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","New Delhi","0","0",
"2014-09-30 14:58:29","EQUATOR TRADE HOUSE","Odyssey","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","0","0",
"2014-09-30 12:53:12","EQUATOR TRADE HOUSE","empire fancy","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","0","0",
"2014-09-30 13:37:53","EQUATOR TRADE HOUSE","pm enterprises","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","0","0",
"2014-09-30 14:05:13","EQUATOR TRADE HOUSE","Dora bag mall","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","0","0",
"2014-09-30 11:44:48","Pragathi Marketing","toy junction","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","Bangalore","0","0",
"2014-09-30 12:18:24","Pragathi Marketing","shobas gift gallery","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","Bangalore","0","0",
"2014-09-30 12:44:24","Pragathi Marketing","Little Finger","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","Bangalore","0","0",
"2014-09-30 14:59:56","Pragathi Marketing","sun gift gallery","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","Bangalore","0","0",
"2014-09-30 15:51:32","SWAYAM ENTERPRISES","The Gift Shop .","Andheri West","Mumbai","0","0",
"2014-09-30 16:44:37","SWAYAM ENTERPRISES","Kamdhenu Departmental store pvt. ltd.","Andheri West","Mumbai","0","0",
"2014-09-30 16:57:46","SWAYAM ENTERPRISES","Green Turtle","Andheri West","Mumbai","0","0",
"2014-09-30 17:19:28","SWAYAM ENTERPRISES","Gurukrupa Cards & Gifts","Andheri West","Mumbai","0","0",
"2014-09-30 11:44:08","Toyotoyz","Asian General Store","DADAR EAST","Mumbai","0","0",
"2014-09-30 17:22:03","Toyotoyz","Mahavir Traders","DADAR WEST","Mumbai","0","0",
